a,b,c,d,e,f,g,h,i,j,k,l
0.105776,0.270264,-0.021829,-0.035534,-0.009883,1.012476,-0.039756,-0.002466,0.999206,0,2019/1/23 10:01,2019/1/23 10:01
0.11203,0.244409,-0.0456,-0.045195,-0.007244,1.004064,-0.039553,-0.002516,0.999214,0,2019/1/23 10:01,2019/1/23 10:01
0.095155,0.263217,0.04655,-0.058711,-0.006005,1.018295,-0.039514,-0.002511,0.999216,0,2019/1/23 10:01,2019/1/23 10:01
0.110911,0.286252,0.081352,-0.057128,-0.00563,1.006987,-0.039388,-0.002551,0.999221,0,2019/1/23 10:01,2019/1/23 10:01
0.120374,0.314975,0.04139,-0.054896,-0.008201,1.011101,-0.039364,-0.002539,0.999222,0,2019/1/23 10:01,2019/1/23 10:01
0.158949,0.242661,0.054182,-0.058475,-0.004148,1.005731,-0.039124,-0.002607,0.999231,0,2019/1/23 10:01,2019/1/23 10:01
0.197815,0.367706,0.094508,-0.059921,-0.005675,0.993425,-0.039115,-0.00257,0.999231,0,2019/1/23 10:01,2019/1/23 10:01
0.175877,0.321827,0.034771,-0.056683,-0.00789,1.00246,-0.039111,-0.002568,0.999232,0,2019/1/23 10:01,2019/1/23 10:01
0.135209,0.147695,0.093583,-0.047225,-0.008541,0.991046,-0.039036,-0.002551,0.999235,0,2019/1/23 10:01,2019/1/23 10:01
0.096599,0.140463,0.032352,-0.052444,-0.012921,0.998788,-0.038906,-0.00262,0.999239,0,2019/1/23 10:01,2019/1/23 10:01
0.053897,0.171794,0.080358,-0.045904,-0.011495,0.992279,-0.038838,-0.002627,0.999242,0,2019/1/23 10:01,2019/1/23 10:01
0.102513,0.185459,0.013433,-0.040003,-0.012914,0.986641,-0.038519,-0.002846,0.999254,0,2019/1/23 10:01,2019/1/23 10:01
0.028449,0.027621,0.038731,-0.04084,-0.00999,0.995192,-0.038406,-0.002862,0.999258,0,2019/1/23 10:01,2019/1/23 10:01
0.028881,0.117073,0.042414,-0.045305,-0.01035,0.98736,-0.038364,-0.0029,0.99926,0,2019/1/23 10:01,2019/1/23 10:01
0.027008,0.225036,0.048435,-0.040386,-0.01098,0.997005,-0.038312,-0.002916,0.999262,0,2019/1/23 10:01,2019/1/23 10:01
0.049134,0.170884,0.029417,-0.0348,-0.010097,0.994469,-0.038261,-0.002975,0.999263,0,2019/1/23 10:01,2019/1/23 10:01
0.112885,0.164153,0.028287,-0.041249,-0.013012,0.995478,-0.03819,-0.002965,0.999266,0,2019/1/23 10:01,2019/1/23 10:01
0.135135,0.258941,0.117085,-0.047141,-0.010509,1.007585,-0.038187,-0.002984,0.999266,0,2019/1/23 10:01,2019/1/23 10:01
0.1714,0.315298,0.002275,-0.042955,-0.009886,0.995162,-0.038163,-0.002957,0.999267,0,2019/1/23 10:01,2019/1/23 10:01
0.155933,0.209817,0.015891,-0.04122,-0.010174,1.004262,-0.038089,-0.003076,0.99927,0,2019/1/23 10:01,2019/1/23 10:01
0.094134,0.164022,-0.017617,-0.0504,-0.008415,0.996616,-0.038019,-0.003073,0.999272,0,2019/1/23 10:01,2019/1/23 10:01
0.250731,0.340817,0.004497,-0.052838,-0.011591,1.003549,-0.038058,-0.003039,0.999271,0,2019/1/23 10:01,2019/1/23 10:01
0.198988,0.272966,0.024118,-0.046008,-0.009172,1.003126,-0.038022,-0.003004,0.999272,0,2019/1/23 10:01,2019/1/23 10:01
0.151061,0.1731,0.002698,-0.049166,-0.00751,0.992413,-0.038005,-0.003078,0.999273,0,2019/1/23 10:01,2019/1/23 10:01
0.12872,0.201104,0.050517,-0.057714,-0.008553,1.007094,-0.037948,-0.003063,0.999275,0,2019/1/23 10:01,2019/1/23 10:01
0.155527,0.234383,0.040532,-0.051937,-0.006897,0.990163,-0.037979,-0.003165,0.999274,0,2019/1/23 10:01,2019/1/23 10:01
0.120984,0.18792,0.071339,-0.046601,-0.010978,0.996149,-0.037919,-0.003153,0.999276,0,2019/1/23 10:01,2019/1/23 10:01
0.062949,0.117288,0.013782,-0.04915,-0.005368,0.996435,-0.0379,-0.003194,0.999276,0,2019/1/23 10:01,2019/1/23 10:01
0.128718,0.171544,0.045016,-0.049649,-0.008206,0.992313,-0.037836,-0.00318,0.999279,0,2019/1/23 10:01,2019/1/23 10:01
0.090723,0.193489,0.056765,-0.043436,-0.00816,1.00364,-0.03792,-0.003385,0.999275,0,2019/1/23 10:01,2019/1/23 10:01
0.026304,0.116532,0.10579,-0.041166,-0.007787,0.993047,-0.03784,-0.003401,0.999278,0,2019/1/23 10:01,2019/1/23 10:01
0.105031,0.150924,0.062741,-0.047565,-0.010364,1.004118,-0.037854,-0.003464,0.999277,0,2019/1/23 10:01,2019/1/23 10:01
0.038757,0.197201,0.044575,-0.045124,-0.009112,0.996351,-0.037799,-0.003477,0.999279,0,2019/1/23 10:01,2019/1/23 10:01
0.117656,0.277614,0.038205,-0.03712,-0.012027,0.995104,-0.037848,-0.003531,0.999277,0,2019/1/23 10:01,2019/1/23 10:01
0.092194,0.174964,-0.056378,-0.044353,-0.007038,1.003788,-0.037788,-0.00353,0.99928,0,2019/1/23 10:01,2019/1/23 10:01
0.037258,0.207148,0.026619,-0.050718,-0.006702,0.991899,-0.037817,-0.0036,0.999278,0,2019/1/23 10:01,2019/1/23 10:01
0.03251,0.28136,-0.013786,-0.046112,-0.010298,1.004123,-0.037789,-0.003616,0.999279,0,2019/1/23 10:01,2019/1/23 10:01
-0.010401,0.180486,-0.024212,-0.041732,-0.00846,0.99511,-0.037792,-0.003671,0.999279,0,2019/1/23 10:01,2019/1/23 10:01
0.068342,0.15557,0.052967,-0.05032,-0.009141,0.995422,-0.037727,-0.003676,0.999281,0,2019/1/23 10:01,2019/1/23 10:01
0.059608,0.216176,0.032599,-0.054367,-0.005552,1.003785,-0.03782,-0.003796,0.999277,0,2019/1/23 10:01,2019/1/23 10:01
-0.008533,0.281378,0.033756,-0.049085,-0.007123,0.990988,-0.037794,-0.003825,0.999278,0,2019/1/23 10:01,2019/1/23 10:01
0.062735,0.141946,0.04425,-0.047181,-0.009926,1.003764,-0.037821,-0.003889,0.999277,0,2019/1/23 10:01,2019/1/23 10:01
-0.02952,0.098918,0.0226,-0.050399,-0.005183,0.996609,-0.03774,-0.003924,0.99928,0,2019/1/23 10:01,2019/1/23 10:01
0.007167,0.262797,0.043498,-0.047701,-0.009873,0.997697,-0.037784,-0.003982,0.999278,0,2019/1/23 10:01,2019/1/23 10:01
-0.031941,0.197781,0.053967,-0.039513,-0.008086,1.004083,-0.037734,-0.004018,0.99928,0,2019/1/23 10:01,2019/1/23 10:01
-0.073527,0.103879,0.024572,-0.042653,-0.010093,0.99646,-0.037712,-0.004084,0.99928,0,2019/1/23 10:01,2019/1/23 10:01
-0.048458,0.132134,0.069321,-0.04917,-0.011086,1.00427,-0.037643,-0.004125,0.999283,0,2019/1/23 10:01,2019/1/23 10:01
-0.056827,0.20798,0.086203,-0.041294,-0.009759,0.993254,-0.037659,-0.004191,0.999282,0,2019/1/23 10:01,2019/1/23 10:01
0.104696,0.187323,0.113155,-0.037731,-0.015792,0.99478,-0.037608,-0.004185,0.999284,0,2019/1/23 10:01,2019/1/23 10:01
0.070526,0.16368,0.099758,-0.047112,-0.014609,0.996512,-0.037662,-0.004265,0.999281,0,2019/1/23 10:01,2019/1/23 10:01
0.162232,0.280086,0.138741,-0.048297,-0.017459,0.991702,-0.037639,-0.004241,0.999282,0,2019/1/23 10:01,2019/1/23 10:01
0.233431,0.34191,0.044655,-0.041618,-0.018848,1.000155,-0.037699,-0.004226,0.99928,0,2019/1/23 10:01,2019/1/23 10:01
0.250891,0.189371,0.05988,-0.040865,-0.017769,0.985124,-0.037649,-0.004176,0.999282,0,2019/1/23 10:01,2019/1/23 10:01
0.270968,0.169271,0.080045,-0.051772,-0.021389,0.995269,-0.037663,-0.004157,0.999282,0,2019/1/23 10:01,2019/1/23 10:01
0.349801,0.297516,0.115556,-0.048117,-0.01611,0.990884,-0.037647,-0.004077,0.999283,0,2019/1/23 10:01,2019/1/23 10:01
0.376205,0.30608,0.070282,-0.041829,-0.017022,0.983411,-0.037687,-0.004009,0.999282,0,2019/1/23 10:01,2019/1/23 10:01
0.487845,0.174119,0.061478,-0.050008,-0.014349,0.993013,-0.037634,-0.003888,0.999284,0,2019/1/23 10:01,2019/1/23 10:01
0.557006,0.17412,0.113293,-0.057595,-0.010949,0.990694,-0.037628,-0.003758,0.999285,0,2019/1/23 10:01,2019/1/23 10:01
0.666022,0.270191,0.135404,-0.051527,-0.014051,0.999227,-0.037605,-0.003582,0.999286,0,2019/1/23 10:01,2019/1/23 10:01
0.620209,0.182048,0.06954,-0.045464,-0.009728,0.999509,-0.037602,-0.003433,0.999287,0,2019/1/23 10:01,2019/1/23 10:01
0.759612,0.162949,0.067651,-0.053445,-0.011015,1.001505,-0.037546,-0.003229,0.99929,0,2019/1/23 10:01,2019/1/23 10:01
0.78655,0.255955,0.035381,-0.053908,-0.007374,1.013292,-0.037564,-0.003029,0.99929,0,2019/1/23 10:01,2019/1/23 10:01
0.833408,0.257324,0.058259,-0.044421,-0.006239,1.00009,-0.037537,-0.002803,0.999291,0,2019/1/23 10:01,2019/1/23 10:01
0.809143,0.151358,0.063845,-0.042471,-0.011984,1.004847,-0.037523,-0.002595,0.999292,0,2019/1/23 10:01,2019/1/23 10:01
0.829857,0.092051,0.034833,-0.045455,-0.003336,0.996028,-0.037447,-0.002371,0.999296,0,2019/1/23 10:01,2019/1/23 10:01
0.808197,0.270912,0.08436,-0.041325,-0.003904,0.995123,-0.03747,-0.002163,0.999295,0,2019/1/23 10:01,2019/1/23 10:01
0.719917,0.258148,0.03442,-0.035678,-0.000617,0.999129,-0.037445,-0.001972,0.999297,0,2019/1/23 10:01,2019/1/23 10:01
0.587,0.124793,0.116904,-0.03759,0.000442,0.989491,-0.037426,-0.001834,0.999298,0,2019/1/23 10:01,2019/1/23 10:01
0.456675,0.189177,0.058911,-0.047645,-0.002032,1.005652,-0.037381,-0.001723,0.9993,0,2019/1/23 10:01,2019/1/23 10:01
0.357859,0.250747,0.0915,-0.043778,0.002961,0.997979,-0.037421,-0.001673,0.999298,0,2019/1/23 10:01,2019/1/23 10:01
0.180753,0.269891,0.047697,-0.042327,-0.000632,0.998271,-0.037401,-0.001645,0.999299,0,2019/1/23 10:01,2019/1/23 10:01
0.087179,0.176749,0.055463,-0.051747,0.003122,1.005425,-0.038094,-0.002224,0.999272,0,2019/1/23 10:01,2019/1/23 10:01
-0.025914,0.280358,0.076178,-0.054278,0.005489,0.99861,-0.03808,-0.00226,0.999272,0,2019/1/23 10:01,2019/1/23 10:01
-0.03499,0.28785,0.088011,-0.046638,0.001895,1.010255,-0.038151,-0.002338,0.999269,0,2019/1/23 10:01,2019/1/23 10:01
-0.145017,0.144668,0.031993,-0.0429,-0.000249,1.003187,-0.038096,-0.00241,0.999271,0,2019/1/23 10:01,2019/1/23 10:01
-0.175008,0.171762,0.058302,-0.052665,-0.00662,1.00555,-0.038104,-0.002511,0.999271,0,2019/1/23 10:01,2019/1/23 10:01
-0.328979,0.167852,0.013074,-0.050983,-0.005398,1.005551,-0.038057,-0.002639,0.999272,0,2019/1/23 10:01,2019/1/23 10:01
-0.350269,0.202259,0.050727,-0.042418,-0.008359,0.994369,-0.038064,-0.002786,0.999271,0,2019/1/23 10:01,2019/1/23 10:01
-0.286982,0.058664,-0.014072,-0.045033,-0.010128,1.000711,-0.037985,-0.002902,0.999274,0,2019/1/23 10:01,2019/1/23 10:01
-0.268105,0.045052,-0.055854,-0.0523,-0.010904,0.992797,-0.037946,-0.003027,0.999275,0,2019/1/23 10:01,2019/1/23 10:01
-0.213443,0.22864,0.002465,-0.043852,-0.018266,0.997116,-0.037918,-0.00312,0.999276,0,2019/1/23 10:01,2019/1/23 10:01
-0.190506,0.202263,0.018154,-0.039019,-0.017825,0.990579,-0.037939,-0.003229,0.999275,0,2019/1/23 10:01,2019/1/23 10:01
-0.142286,0.194169,0.001117,-0.042703,-0.018255,0.986163,-0.037901,-0.003302,0.999276,0,2019/1/23 10:01,2019/1/23 10:01
-0.055518,0.219144,-0.018893,-0.048446,-0.018553,1.000111,-0.037971,-0.003406,0.999273,0,2019/1/23 10:01,2019/1/23 10:01
-0.001058,0.243613,0.018251,-0.04223,-0.016715,0.990338,-0.03795,-0.003435,0.999274,0,2019/1/23 10:01,2019/1/23 10:01
0.027689,0.169838,0.063198,-0.039493,-0.018769,0.996159,-0.038151,-0.003638,0.999265,0,2019/1/23 10:01,2019/1/23 10:01
0.083681,0.184928,0.019584,-0.047417,-0.009527,0.996039,-0.038113,-0.003642,0.999267,0,2019/1/23 10:01,2019/1/23 10:01
0.237318,0.291873,0.001779,-0.049467,-0.011474,0.990688,-0.038236,-0.003685,0.999262,0,2019/1/23 10:01,2019/1/23 10:01
0.298866,0.285164,0.050179,-0.04282,-0.009451,1.001987,-0.038229,-0.003623,0.999262,0,2019/1/23 10:01,2019/1/23 10:01
0.29039,0.194483,0.047346,-0.043971,-0.007726,0.993801,-0.038299,-0.003631,0.99926,0,2019/1/23 10:01,2019/1/23 10:01
0.28622,0.168288,0.042833,-0.053806,-0.007912,1.003256,-0.038257,-0.003573,0.999262,0,2019/1/23 10:01,2019/1/23 10:01
0.210314,0.245586,-0.004971,-0.050844,-0.001868,1.001005,-0.03847,-0.003701,0.999253,0,2019/1/23 10:01,2019/1/23 10:01
0.163611,0.297317,0.004073,-0.045387,-0.003329,0.999086,-0.038469,-0.003681,0.999253,0,2019/1/23 10:01,2019/1/23 10:01
0.106901,0.184561,0.061053,-0.048258,-0.000203,1.005746,-0.039804,-0.004661,0.999197,0,2019/1/23 10:01,2019/1/23 10:01
0.040775,0.223283,0.009262,-0.053382,0.000877,0.996788,-0.039784,-0.004679,0.999197,0,2019/1/23 10:01,2019/1/23 10:01
-0.013977,0.255423,0.037161,-0.045301,-0.001942,1.005529,-0.039871,-0.004767,0.999193,0,2019/1/23 10:01,2019/1/23 10:01
-0.186221,0.143217,0.077571,-0.040004,0.000707,0.996924,-0.039828,-0.004853,0.999195,0,2019/1/23 10:01,2019/1/23 10:01
-0.141177,0.137104,0.049324,-0.04963,-0.00461,0.994493,-0.039828,-0.004944,0.999194,0,2019/1/23 10:01,2019/1/23 10:01
-0.16691,0.238164,0.117292,-0.051111,-0.004747,1.005598,-0.039814,-0.005025,0.999195,0,2019/1/23 10:01,2019/1/23 10:01
-0.220248,0.234092,0.114799,-0.041804,-0.00513,0.993239,-0.039835,-0.005134,0.999193,0,2019/1/23 10:01,2019/1/23 10:01
-0.25622,0.144937,0.073963,-0.04154,-0.012124,0.999372,-0.039793,-0.005242,0.999194,0,2019/1/23 10:01,2019/1/23 10:01
-0.283264,0.090957,0.037559,-0.051518,-0.008363,0.995543,-0.039768,-0.005369,0.999195,0,2019/1/23 10:01,2019/1/23 10:01
-0.214392,0.286888,0.003289,-0.049481,-0.014368,0.995944,-0.039769,-0.005465,0.999194,0,2019/1/23 10:01,2019/1/23 10:01
-0.297504,0.195764,0.077268,-0.042233,-0.015366,1.001647,-0.039777,-0.005597,0.999193,0,2019/1/23 10:01,2019/1/23 10:01
-0.352212,0.10675,-0.044847,-0.046277,-0.011125,0.988861,-0.039724,-0.005736,0.999194,0,2019/1/23 10:01,2019/1/23 10:01
-0.279988,0.145485,0.039774,-0.052887,-0.01631,1.003026,-0.039717,-0.005864,0.999194,0,2019/1/23 10:01,2019/1/23 10:01
-0.273493,0.211245,-0.030224,-0.045555,-0.01097,0.995513,-0.039697,-0.005979,0.999194,0,2019/1/23 10:01,2019/1/23 10:01
-0.145624,0.224481,-0.033014,-0.039863,-0.015774,0.99159,-0.03973,-0.006078,0.999192,0,2019/1/23 10:01,2019/1/23 10:01
-0.007989,0.154323,0.014872,-0.046483,-0.012582,0.999463,-0.039692,-0.006112,0.999193,0,2019/1/23 10:01,2019/1/23 10:01
0.007241,0.198653,0.026956,-0.050636,-0.011156,0.989463,-0.039866,-0.006261,0.999185,0,2019/1/23 10:01,2019/1/23 10:01
0.169555,0.249523,0.021155,-0.043937,-0.017341,1.000604,-0.039858,-0.006241,0.999186,0,2019/1/23 10:01,2019/1/23 10:01
0.121135,0.124992,0.076733,-0.041318,-0.013563,0.992882,-0.040073,-0.006405,0.999176,0,2019/1/23 10:01,2019/1/23 10:01
0.237368,0.145981,0.054906,-0.049217,-0.01371,0.992786,-0.040035,-0.006365,0.999178,0,2019/1/23 10:01,2019/1/23 10:01
0.283287,0.249362,0.054344,-0.049722,-0.011552,1.000652,-0.040117,-0.006362,0.999175,0,2019/1/23 10:01,2019/1/23 10:01
0.253345,0.258718,0.090269,-0.043785,-0.01127,0.990832,-0.040114,-0.006316,0.999175,0,2019/1/23 10:01,2019/1/23 10:01
0.330132,0.143198,0.077788,-0.044875,-0.014443,0.998503,-0.040136,-0.00628,0.999174,0,2019/1/23 10:01,2019/1/23 10:01
0.255012,0.107587,0.100534,-0.048379,-0.007401,0.993765,-0.040087,-0.006234,0.999177,0,2019/1/23 10:01,2019/1/23 10:01
0.327332,0.238464,0.029768,-0.046797,-0.01002,0.992628,-0.040147,-0.006204,0.999175,0,2019/1/23 10:01,2019/1/23 10:01
0.247219,0.249666,0.123321,-0.043686,-0.007785,1.001751,-0.040141,-0.00616,0.999175,0,2019/1/23 10:01,2019/1/23 10:01
0.170731,0.119898,0.027683,-0.0485,-0.005358,0.99093,-0.040331,-0.006289,0.999167,0,2019/1/23 10:01,2019/1/23 10:01
0.123326,0.142415,0.036911,-0.051968,-0.006045,1.002006,-0.040294,-0.006284,0.999168,0,2019/1/23 10:01,2019/1/23 10:01
0.18838,0.234977,0.026483,-0.044977,-0.000604,0.998443,-0.040659,-0.006488,0.999152,0,2019/1/23 10:01,2019/1/23 10:01
0.212622,0.217793,0.098,-0.040185,-0.006496,0.997884,-0.040646,-0.006455,0.999153,0,2019/1/23 10:01,2019/1/23 10:01
0.100538,0.14065,0.064314,-0.047181,-0.002861,1.003106,-0.040966,-0.006668,0.999138,0,2019/1/23 10:01,2019/1/23 10:01
0.071585,0.207595,0.12104,-0.052648,-0.002989,0.998942,-0.040951,-0.006677,0.999139,0,2019/1/23 10:01,2019/1/23 10:01
0.095893,0.239932,0.107437,-0.043009,-0.008193,1.005907,-0.041209,-0.006828,0.999127,0,2019/1/23 10:01,2019/1/23 10:01
-0.022253,0.13619,0.109473,-0.040573,-0.008275,1.000104,-0.041173,-0.006866,0.999128,0,2019/1/23 10:01,2019/1/23 10:01
0.01701,0.202178,0.050991,-0.04954,-0.010294,0.99912,-0.04133,-0.006988,0.999121,0,2019/1/23 10:01,2019/1/23 10:01
-0.007271,0.26243,-0.015813,-0.048054,-0.010612,1.005901,-0.041333,-0.007024,0.999121,0,2019/1/23 10:01,2019/1/23 10:01
-0.112444,0.252611,0.053635,-0.041513,-0.009904,0.98887,-0.041377,-0.007111,0.999118,0,2019/1/23 10:01,2019/1/23 10:01
-0.036296,0.155978,0.055426,-0.04217,-0.01534,0.996958,-0.041348,-0.007155,0.999119,0,2019/1/23 10:01,2019/1/23 10:01
-0.025121,0.182567,-0.002335,-0.051813,-0.009423,0.991418,-0.041418,-0.007245,0.999116,0,2019/1/23 10:01,2019/1/23 10:01
0.128502,0.277059,0.017298,-0.046387,-0.015378,0.9917,-0.041426,-0.007239,0.999115,0,2019/1/23 10:01,2019/1/23 10:01
0.10579,0.215072,0.077286,-0.043903,-0.014671,0.997107,-0.042118,-0.007672,0.999083,0,2019/1/23 10:01,2019/1/23 10:01
0.090188,0.096133,-0.026403,-0.04761,-0.013081,0.991818,-0.042073,-0.007679,0.999085,0,2019/1/23 10:01,2019/1/23 10:01
0.195373,0.193028,0.006715,-0.052196,-0.016886,1.001473,-0.042243,-0.007767,0.999077,0,2019/1/23 10:01,2019/1/23 10:01
0.222338,0.243964,0.024273,-0.047682,-0.013408,1.000202,-0.042244,-0.007733,0.999077,0,2019/1/23 10:01,2019/1/23 10:01
0.309342,0.182887,0.051974,-0.045117,-0.014951,0.993614,-0.042269,-0.007696,0.999077,0,2019/1/23 10:01,2019/1/23 10:01
0.28784,0.116292,-0.021927,-0.050806,-0.01218,1.005744,-0.042231,-0.007643,0.999079,0,2019/1/23 10:01,2019/1/23 10:01
0.286675,0.138781,0.065245,-0.053256,-0.008424,0.997525,-0.042249,-0.007615,0.999078,0,2019/1/23 10:01,2019/1/23 10:01
0.298142,0.18964,-0.000528,-0.045112,-0.013202,1.001355,-0.042233,-0.007559,0.999079,0,2019/1/23 10:01,2019/1/23 10:01
0.198132,0.08636,0.082877,-0.041208,-0.008257,0.999389,-0.042254,-0.007571,0.999078,0,2019/1/23 10:01,2019/1/23 10:01
0.234094,0.107503,0.016429,-0.046591,-0.006938,0.991729,-0.042214,-0.007534,0.99908,0,2019/1/23 10:01,2019/1/23 10:01
0.256062,0.206086,0.10466,-0.047946,-0.004617,1.003669,-0.042271,-0.007526,0.999078,0,2019/1/23 10:01,2019/1/23 10:01
0.210319,0.191999,0.067225,-0.040653,-0.000495,0.991345,-0.042257,-0.007496,0.999079,0,2019/1/23 10:01,2019/1/23 10:01
0.215926,0.149141,0.109818,-0.039418,-0.006207,0.99702,-0.042312,-0.007509,0.999076,0,2019/1/23 10:01,2019/1/23 10:01
0.220786,0.129978,0.040768,-0.046912,-0.001992,0.997883,-0.042279,-0.007476,0.999078,0,2019/1/23 10:01,2019/1/23 10:01
0.159778,0.255744,-0.000457,-0.047156,-0.003471,0.99363,-0.042531,-0.007595,0.999066,0,2019/1/23 10:01,2019/1/23 10:01
0.133267,0.259819,0.073293,-0.042314,-0.007818,1.003462,-0.042539,-0.007588,0.999066,0,2019/1/23 10:01,2019/1/23 10:01
0.027916,0.144404,0.038148,-0.046299,-0.005136,0.997562,-0.042622,-0.00767,0.999062,0,2019/1/23 10:01,2019/1/23 10:01
0.034026,0.218116,0.045205,-0.052049,-0.009125,1.003772,-0.042617,-0.007693,0.999062,0,2019/1/23 10:01,2019/1/23 10:01
-0.111877,0.239874,-0.016636,-0.049526,-0.006987,1.003416,-0.04265,-0.007775,0.99906,0,2019/1/23 10:01,2019/1/23 10:01
-0.00368,0.265367,0.059148,-0.045729,-0.009976,0.993625,-0.04266,-0.00781,0.999059,0,2019/1/23 10:01,2019/1/23 10:01
-0.041079,0.139189,-0.000988,-0.048967,-0.011931,1.004372,-0.042682,-0.007881,0.999058,0,2019/1/23 10:01,2019/1/23 10:01
